Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU
38,1,Mount,Standoffs & Spacers WA-SMST SMT Steel 3.3mm Intrnl NonStop,9774015960R,H2,Würth Elektronik,9774015960R,951,
39,1,Mount,Standoffs & Spacers WA-SMST SMT Steel 3.3mm Intrnl NonStop,9774015960R,H3,Würth Elektronik,9774015960R,953,
40,1,MC7805ACTG,"1A, 5V, Positive V Reg, MC7805ACTG MC7805ACTG, Voltage Regulator, 2.2A 5 V, +/-4%, 3-Pin TO-220",MC7805ACTG,IC1,onsemi,MC7805ACTG,425,
41,1,SN74HC00N,"Quad 2i/p NANDgate,SN74HC00N DIP14 25pcs",SN74HC00N,IC2,Texas Instruments,SN74HC00N,115,
42,1,MAX156BCNG+,"Analog to Digital Converters - ADC High-Speed, 8-Channel, 8-Bit ADC with Simultaneous Track/Holds and Reference",MAX156BCNG+,IC3,Analog Devices,MAX156BCNG+,86,
43,1,ATMEGA162-16PU,"ATMEGA162-16PU, 8 bit AVR Microcontroller 16MHz 16 kB, 512 B Flash, 1 kB RAM, 40-Pin PDIP",ATMEGA162-16PU,IC4,Microchip,ATMEGA162-16PU,3,
44,1,SN74ALS573CN,Octal D-Type Transparent Latches With 3-State Outputs,SN74ALS573CN,IC5,Texas Instruments,SN74ALS573CN,65,
45,1,MAX233CPP+,"MAX233CPP+, Line Transceiver, EIA/TIA-232-E, RS-232, V.24, V.28 2-TX 2-RX 2-TRX, 5 V, 20-Pin PDIP",MAX233CPP+,IC6,Analog Devices,MAX233CPP+,1119,
46,1,MCP2515-I_P,Stand-Alone CAN Controller,MCP2515-I/P,IC7,Microchip,MCP2515-I/P,130,
47,1,MCP2551-I_P,"High Speed CAN Transceiver,MCP2551-I/P Microchip MCP2551-I/P, CAN Transceiver 1-channel ISO 11898, 8-Pin PDIP",MCP2551-I/P,IC8,Microchip,MCP2551-I/P,149,
48,1,691418320002,WR-TBL Series 4183 - 3.81 mm 45° Cable Entry Screwless,,J1,,,926,
49,1,ED281DT,"28 (2 x 14) Pos DIP, 0.3" (7.62mm) Row Spacing Socket Tin Through Hole",ED281DT,J2,On Shore Technology Inc.,ED281DT,831,
50,1,618009231121,"WURTH ELEKTRONIK - 618009231121 - SOCKET, D SUB, PCB, R/A, 9WAY",618009231121,J5,Würth Elektronik,618009231121,1147,
51,1,CONN_003P_000C_1,,M20-9990345,JOYSTICK_CONN1,Harwin,M20-9990345,685,
52,1,CONN_67997-210HLF,,67997-210HLF,JTAG_CONN1,Amphenol ICC,67997-210HLF,748,
53,1,150080VS75000,"Wurth Elektronik WL-SMCW 570 nm Green LED, 2012 (0805) Clear SMD package",150080VS75000,LED1,Würth Elektronik,150080VS75000,516,
54,1,150080VS75000,"Wurth Elektronik WL-SMCW 570 nm Green LED, 2012 (0805) Clear SMD package",150080VS75000,LED2,Würth Elektronik,150080VS75000,625,
55,1,150080VS75000,"Wurth Elektronik WL-SMCW 570 nm Green LED, 2012 (0805) Clear SMD package",150080VS75000,LED3,Würth Elektronik,150080VS75000,628,
56,1,CONN_012P_000C_1,,705430011,OLED_CONN1,Molex Connector Corporation,705430011,719,
57,1,10k,Panasonic ERJ6GE Series Thick Film Surface Mount Fixed Resistor 0805 Case 10k +/-5% 0.125W +/-200ppm/C,ERJ-6GEYJ103V,R1,Panasonic,ERJ-6GEYJ103V,524,
